City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,raymondville,26.4815,-97.7831,93.27,49,0,5.3,US,1694101685
83,port hedland,-20.3167,118.5667,68.05,73,39,5.75,AU,1694101685
84,labrador city,52.9463,-66.9114,42.71,93,100,11.5,CA,1694101196
85,hagere maryam,5.6333,38.2333,59.14,91,88,1.07,ET,1694101686
86,zag,46.9441,99.165,48.13,44,27,1.16,MN,1694101686
87,san lawrenz,36.0553,14.204,79.86,67,26,19.33,MT,1694101687
88,peterhead,57.5058,-1.7981,72.45,97,99,11.95,GB,1694101687
89,tavda,58.0425,65.2726,51.31,68,34,5.61,RU,1694101687
90,bredasdorp,-34.5322,20.0403,59.47,72,3,10.31,ZA,1694101397
91,lebu,-37.6167,-73.65,52.74,86,100,11.18,CL,1694101390
92,dzhalagash,45.0833,64.6667,68.41,41,99,7.31,KZ,1694101688
93,sangkhla buri,15.1555,98.4536,73.85,99,100,0.43,TH,1694101688
94,medyn',54.9692,35.8586,53.69,60,35,7.05,RU,1694101688
95,antalaha,-14.9003,50.2788,72.12,83,53,5.39,MG,1694101688
96,longyearbyen,78.2186,15.6401,39.04,81,20,2.3,SJ,1694101410
97,atafu village,-8.5421,-172.5159,82.62,75,100,11.95,TK,1694101397
98,pignan,43.5836,3.7598,82.0,36,0,9.22,FR,1694101689
99,vila velha,-20.3297,-40.2925,78.75,69,40,9.22,BR,1694101441
100,suzun,53.7841,82.3116,50.23,92,100,3.4,RU,1694101689
101,holualoa,19.6228,-155.9522,76.84,88,0,6.91,US,1694101415
102,basco,20.4487,121.9702,82.87,76,99,8.39,PH,1694101690
103,pindare mirim,-3.6083,-45.3433,90.86,40,52,5.53,BR,1694101690
104,altai,46.3722,96.2583,52.02,32,27,19.17,MN,1694101690
105,coahuayana de hidalgo,18.7,-103.6583,86.86,65,93,2.8,MX,1694101691
106,luganville,-15.5333,167.1667,74.19,76,85,10.92,VU,1694101691
107,grand falls-windsor,48.9332,-55.6649,77.5,75,100,5.01,CA,1694101691
108,guerrero negro,27.9769,-114.0611,75.11,64,5,3.24,MX,1694101413
109,cidreira,-30.1811,-50.2056,65.26,81,100,26.55,BR,1694101533
110,mount pearl,47.5166,-52.7813,75.72,86,75,8.05,CA,1694101648
111,sirte,31.2089,16.5887,80.04,67,3,22.01,LY,1694101692
112,haslett,42.747,-84.4011,70.14,92,100,8.05,US,1694101470
113,mutare,-18.9707,32.6709,71.01,37,0,6.26,ZW,1694101693
